status;time;card_type;city;amount;id
fail;30/9/2025 10:48;Master-Card;Ahvaz;443463.0;3
failed;5/9/2025 10:05;Vsa;Tabriz;120000.0;82
success;23/9/2025 13:13;Amex;Isfahan;9999999999.0;7
fail;7/9/2025 12:34;MasterCard;tehr@n;1472823.0;98
success;13/9/2025 23:17;Amex;Tehran;419089.0;6
success;15/9/2025 1:51;MasterCard;Tabriz;-5000.0;82
success;11/9/2025 9:00;Amex;Tehran;650000.0;45
fail;29/9/2025 8:08;Discover;Tehran;9999999999.0;87
fail;4/9/2025 9:45;Vsa;Tabriz;0.0;39
fail;13/9/2025 18:45;MastCard;Tehran;1578078.0;51
fail;7/9/2025 11:11;Discover;Tehran;585954.0;9
failed;27/9/2025 2:54;Vsa;Isfahan;200000.0;100
success;19/9/2025 12:44;MasterCard;Tehran;583952.0;23
Success;22/9/2025 11:11;Visa;Ahvaz;1463119.0;12
fail;28/9/2025 7:32;Visa;Ahvaz;177050.0;89
fail;2/9/2025 23:17;MastCard;Isfahan;0.0;62
success;10/9/2025 14:11;Master-Card;ThRan;0.0;73
fail;13/9/2025 4:15;Vsa;Karaj;0.0;77
fail;30/9/2025 7:08;Amex;Karaj;9999999999.0;40
success;25/9/2025 2:20;Visa;Tehran;0.0;54
fail;21/9/2025 23:59;Visa;karaj;100.5;81
success;6/9/2025 19:40;Discover;tehr@n;1502601.0;7
fail;28/9/2025 20:33;Master-Card;Tabriz;-5000.0;17
success;28/9/2025 14:11;VISA;Karaj;200000.0;50
failed;12/9/2025 22:27;Discover;Karaj;419089.0;24
fail;12/9/2025 0:00;MastCard;Tabriz;200000.0;2
Success;20/9/2025 21:21;Amex;Mashhad;-1.0;100
success;30/9/2025 2:30;Visa;Tehran;914465.0;93
Success;30/9/2025 10:05;MasterCard;Tehran;50200.0;83
fail;11/9/2025 21:21;Vsa;Tehran;976246.0;33
success;26/9/2025 3:27;Discover;Qom;200000.0;21
fail;23/9/2025 21:23;Master-Card;Shiraz;177050.0;74
success;28/9/2025 19:19;Discover;TEHRAN;-5000.0;53
success;25/9/2025 14:55;Visa;Qom;-5000.0;46
success;7/9/2025 14:02;Visa;Tabriz;850000.0;45
Success;30/9/2025 14:11;Vsa;Tehran;443463.0;9
fail;1/9/2025 2:30;MasterCard;THR;99999.0;6
fail;1/9/2025 14:00;Vsa;Mashhad;9999999999.0;51
success;25/9/2025 13:13;MasterCard;Karaj;-5000.0;35
success;27/9/2025 4:04;MasterCard;Tehran;1463119.0;82
success;30/9/2025 10:05;Vsa;Mashhad;976246.0;53
success;25/9/2025 2:30;MasterCard;Tabriz;63489.0;19
Success;20/9/2025 10:05;Vsa;Tehran;177050.0;69
success;13/9/2025 19:29;Visa;Ahvaz;650000.0;25
fail;9/9/2025 11:11;Amex;Mashhad;120000.0;11
fail;3/9/2025 14:11;MastCard;Tabriz;650000.0;74
FAIL;7/9/2025 0:00;Master-Card;Ahvaz;0.0;17
success;6/9/2025 5:23;Visa;Mashhad;471227.0;36
Success;8/9/2025 2:54;Amex;Tehran;-5000.0;91
fail;27/9/2025 10:48;MasterCard;tehr@n;412308.0;96
success;9/9/2025 5:56;Discover;Tabriz;1305967.0;97
success;30/9/2025 10:05;Visa;karaj;914282.0;21
fail;5/9/2025 14:11;Visa;karaj;583952.0;18
success;1/9/2025 0:00;Vsa;Tehran;900000.0;60
success;19/9/2025 3:00;MastCard;Mashhad;1768588.0;18
success;10/9/2025 12:12;Discover;Tehran;419089.0;1
failed;12/9/2025 19:19;Vsa;Isfahan;1578078.0;14
failed;24/9/2025 3:27;Visa;Karaj;177050.0;8
failed;15/9/2025 2:30;Amex;Tabriz;343679.0;66
failed;27/9/2025 5:23;Master-Card;Tehran;443463.0;51
success;22/9/2025 2:37;Vsa;Mashhad;850000.0;79
fail;24/9/2025 2:37;Discover;Qom;0.0;60
failed;9/9/2025 11:11;MastCard;Shiraz;-5000.0;34
success;20/9/2025 12:12;MasterCard;Ahvaz;1768588.0;36
fail;17/9/2025 8:08;Vsa;Karaj;443463.0;62
success;30/9/2025 14:30;MasterCard;karaj;200000.0;1
fail;17/9/2025 7:08;MastCard;Tabriz;0.0;85
success;26/9/2025 13:13;Visa;Qom;200000.0;42
fail;20/9/2025 14:11;Amex;Isfahan;123456.0;1
fail;12/9/2025 20:33;Amex;Tehran ;976246.0;97
Success;30/9/2025 2:24;Amex;Isfahan;-1.0;84
success;7/9/2025 14:00;MastCard;Tehran ;1502601.0;54
success;2/9/2025 14:30;nan;Ahvaz;452545.0;47
success;3/9/2025 17:17;Vsa;Karaj;-5000.0;39
failed;17/9/2025 5:56;Visa;Mashhad;343679.0;30
success;5/9/2025 9:09;Vsa;Isfahan;471227.0;7
success;17/9/2025 12:12;Visa;Mashhad;50200.0;22
FAIL;24/9/2025 20:20;Amex;Tabriz;1472823.0;50
fail;17/9/2025 18:12;Master-Card;TEHRAN;250000.0;45
Success;27/9/2025 2:20;Visa;Ahvaz;914282.0;74
fail;17/9/2025 21:21;Master-Card;Ahvaz;333333.0;72
success;2/9/2025 20:20;Vsa;Isfahan;5000.0;92
fail;2/9/2025 12:12;MasterCard;Tehran;914465.0;10
success;28/9/2025 11:11;Discover;Karaj;471227.0;14
success;22/9/2025 7:08;MasterCard;Isfahan;120000.0;46
succeed;23/9/2025 23:59;VISA;THR;250000.0;75
FAIL;5/9/2025 10:05;Visa;Ahvaz;850000.0;6
FAIL;1/9/2025 10:48;Amex;Tehran;450000.0;21
fail;1/9/2025 14:02;Visa;Qom;585954.0;62
succeed;19/9/2025 14:55;Visa;Karaj;-999999.0;98
success;30/9/2025 2:30;MastCard;Qom;0.0;19
failed;2/9/2025 19:51;Discover;Mashhad;300000.0;89
fail;21/9/2025 10:48;visa;Tabriz;123456.0;82
success;12/9/2025 20:20;MasterCard;Tabriz;774681.0;100
FAIL;26/9/2025 21:21;MasterCard;Ahvaz;1768588.0;62
Success;6/9/2025 23:59;Visa;Tehran;471227.0;83
success;23/9/2025 1:01;Master Card;Ahvaz;343679.0;53
failed;4/9/2025 9:45;Visa;Mashhad;-5000.0;24
fail;23/9/2025 14:11;MasterCard;tehr@n;976246.0;56
success;11/9/2025 2:37;MasterCard;nan;343679.0;62
success;24/9/2025 7:32;MasterCard;Shiraz;250000.0;34
fail;27/9/2025 5:56;Amex;Isfahan;545116.0;22
fail;17/9/2025 10:05;Amex;Mashhad;1463119.0;68
fail;6/9/2025 19:40;Visa;Tabriz;250000.0;57
success;24/9/2025 15:45;MasterCard;Tehran;100000.0;10
fail;5/9/2025 14:11;Vsa;Qom;63489.0;66
success;20/9/2025 12:34;MasterCard;Ahvaz;1578078.0;8
fail;2/9/2025 11:11;Visa;Tabriz;177050.0;98
success;6/9/2025 6:30;Discover;Isfahan;976246.0;38
success;22/9/2025 8:08;Visa;Qom;0.0;62
success;11/9/2025 14:55;Visa;TEHRAN;1782689.0;28
success;16/9/2025 21:21;Discover;Tehran;333333.0;10
success;16/9/2025 4:40;MasterCard;Tabriz;0.0;45
fail;1/9/2025 11:11;Visa;TEHRAN;1782689.0;65
failed;9/9/2025 2:54;Amex;Tehran;650000.0;99
fail;28/9/2025 9:00;visa;Shiraz;177050.0;67
fail;27/9/2025 21:23;VISA;Shiraz;412308.0;9
success;6/9/2025 6:06;Vsa;Isfahan;452545.0;5
fail;16/9/2025 0:00;Discover;Mashhad;1427657.0;10
failed;29/9/2025 23:59;Visa;THR;100000.0;12
fail;3/9/2025 5:23;Vsa;Tehran;0.0;82
success;20/9/2025 12:44;Visa;Tabriz;914282.0;58
fail;28/9/2025 19:29;Visa;Mashhad;914465.0;21
fail;27/9/2025 13:10;MasterCard;Isfahan;-999999.0;21
fail;4/9/2025 14:11;Visa;Qom;1472823.0;65
failed;19/9/2025 23:59;Vsa;TEHRAN;0.0;3
FAIL;26/9/2025 7:08;Vsa;TEHRAN;-999999.0;69
success;3/9/2025 3:27;MastCard;Tabriz;419089.0;90
failed;19/9/2025 14:55;Vsa;Tabriz;12345.0;64
success;20/9/2025 19:51;Visa;Tehran;555555.0;49
FAIL;7/9/2025 7:08;MastCard;TEHRAN;471227.0;72
failed;20/9/2025 16:40;Discover;Isfahan;-5000.0;17
fail;9/9/2025 3:00;MastCard;Mashhad;200000.0;73
success;1/9/2025 19:51;Visa;Ahvaz;-1.0;32
success;8/9/2025 19:51;MastCard;Mashhad;100.5;70
fail;7/9/2025 17:17;VISA;Tehran;63489.0;21
fail;18/9/2025 10:48;Visa;Isfahan;914282.0;7
Success;8/9/2025 11:11;Visa;Shiraz;443463.0;7
Success;1/9/2025 2:37;Visa;Karaj;850000.0;27
failed;11/9/2025 13:10;MasterCard;Shiraz;123456.0;8
succeed;28/9/2025 2:30;Discover;Tehran;100.5;73
failed;25/9/2025 11:11;Vsa;Tabriz;1578078.0;28
fail;25/9/2025 5:23;MasterCard;Karaj;0.0;79
fail;18/9/2025 12:12;MasterCard;THR;-5000.0;66
fail;23/9/2025 11:11;MastCard;Tehran;976246.0;71
fail;30/9/2025 17:07;Discover;Tehran;-999999.0;47
fail;10/9/2025 2:30;Discover;Shiraz;0.0;82
success;3/9/2025 18:12;MastCard;Qom;1768588.0;87
failed;7/9/2025 1:01;Vsa;Tehran;1463119.0;10
failed;28/9/2025 21:10;Visa;Qom;914282.0;33
success;16/9/2025 13:13;Visa;Tehran ;900000.0;7
Success;26/9/2025 10:48;Visa;Shiraz;99999.0;3
success;16/9/2025 12:44;Discover;Mashhad;1.0;14
failed;25/9/2025 4:40;Discover;karaj;1158713.0;44
success;20/9/2025 12:12;MastCard;Tabriz;-999999.0;46
fail;28/9/2025 20:33;Vsa;Isfahan;1578078.0;61
Success;17/9/2025 5:56;Visa;Mashhad;-5000.0;36
fail;2/9/2025 7:08;Amex;Mashhad;100.5;13
success;1/9/2025 20:33;Discover;TEHRAN;100000.0;16
fail;16/9/2025 19:51;MasterCard;Tabriz;1578078.0;80
success;30/9/2025 21:10;Amex;Tehran;471227.0;5
succeed;12/9/2025 16:40;Master-Card;TEHRAN;0.0;90
fail;5/9/2025 9:45;Visa;Tabriz;-5000.0;38
failed;5/9/2025 19:40;Visa;Isfahan;1883871.0;50
fail;27/9/2025 4:15;Amex;Mashhad;585954.0;38
fail;23/9/2025 23:17;MasterCard;Tehran ;1.0;56
fail;9/9/2025 19:51;Visa;Mashhad;419089.0;63
success;9/9/2025 23:17;Visa;Mashhad;914465.0;48
fail;3/9/2025 16:16;Amex;Qom;1050805.0;91
success;19/9/2025 14:11;Discover;Tehran ;583952.0;59
fail;16/9/2025 23:17;visa;karaj;-999999.0;77
fail;16/9/2025 12:44;MasterCard;Tehran;1782689.0;44
success;3/9/2025 13:13;Visa;Ahvaz;200000.0;91
fail;20/9/2025 14:30;Amex;karaj;0.0;55
fail;24/9/2025 7:08;Discover;Karaj;343679.0;55
fail;22/9/2025 7:08;MasterCard;Shiraz;9999999999.0;1
success;24/9/2025 3:00;MasterCard;Isfahan;1502601.0;8
success;1/9/2025 10:48;MasterCard;Shiraz;-999999.0;4
fail;24/9/2025 6:30;Vsa;Karaj;0.0;85
fail;20/9/2025 12:44;Visa;Tehran;343679.0;87
success;11/9/2025 3:27;Master-Card;Tabriz;900000.0;53
fail;17/9/2025 9:00;Vsa;Tehran;914465.0;58
failed;8/9/2025 7:07;Discover;karaj;99999.0;37
success;4/9/2025 7:08;Visa;Karaj;0.0;49
success;6/9/2025 1:01;Discover;Mashhad;343679.0;67
fail;8/9/2025 16:40;Discover;karaj;914465.0;19
success;20/9/2025 7:08;Amex;Karaj;-5000.0;1
failed;30/9/2025 12:44;Visa;TEHRAN;120000.0;29
success;3/9/2025 14:11;nan;Tehran;1463119.0;88
success;16/9/2025 12:34;Visa;Mashhad;1463119.0;33
success;30/9/2025 10:05;Discover;Karaj;914465.0;52
success;25/9/2025 9:45;Visa;Tabriz;555555.0;41
fail;3/9/2025 8:59;Discover;Tabriz;1387769.0;23
success;25/9/2025 7:08;Vsa;Isfahan;450000.0;5
fail;29/9/2025 16:16;Amex;Ahvaz;-1.0;71
success;18/9/2025 10:48;Visa;Mashhad;5000.0;57
failed;14/9/2025 8:59;Master-Card;Mashhad;100.5;6
failed;18/9/2025 20:33;Vsa;Isfahan;-5000.0;49
success;2/9/2025 19:51;MastCard;Tabriz;774681.0;22
fail;22/9/2025 23:17;Vsa;TEHRAN;471227.0;77
fail;3/9/2025 7:08;Amex;Tabriz;177050.0;76
success;16/9/2025 2:24;MasterCard;Qom;914282.0;4
failed;29/9/2025 12:44;Discover;Tehran;450000.0;72
success;9/9/2025 21:21;Visa;Isfahan;0.0;64
fail;4/9/2025 7:32;Amex;TEHRAN;63489.0;37
Success;1/9/2025 23:59;Master-Card;nan;555555.0;31
succeed;4/9/2025 21:21;Amex;Isfahan;-999999.0;37
success;1/9/2025 4:15;nan;Tehran;200000.0;45
success;14/9/2025 8:08;Discover;Tabriz;1578078.0;91
success;21/9/2025 14:00;MastCard;Tabriz;583952.0;8
success;16/9/2025 10:05;Amex;Shiraz;63489.0;40
FAIL;20/9/2025 10:05;MastCard;Mashhad;250000.0;98
fail;24/9/2025 13:13;Amex;Ahvaz;583952.0;94
success;8/9/2025 3:27;Visa;Karaj;1768588.0;5
success;7/9/2025 15:45;Visa;Tabriz;5000.0;28
failed;3/9/2025 4:15;VISA;Ahvaz;1472823.0;81
failed;17/9/2025 10:48;Visa;karaj;1000.0;88
FAIL;1/9/2025 23:59;MasterCard;Qom;1463119.0;9
success;16/9/2025 10:05;MasterCard;TEHRAN;-999999.0;2
failed;12/9/2025 13:13;Discover;Ahvaz;1782689.0;63
success;27/9/2025 15:45;Vsa;Qom;250000.0;97
success;19/9/2025 9:09;MastCard;TEHRAN;1782689.0;51
fail;22/9/2025 7:07;Master-Card;Qom;1502601.0;31
failed;23/9/2025 4:40;MasterCard;Mashhad;200000.0;7
succeed;22/9/2025 4:15;Amex;Isfahan;452545.0;30
fail;14/9/2025 20:20;Master-Card;THR;-5000.0;58
fail;30/9/2025 7:32;visa;Tehran;1768588.0;3
failed;6/9/2025 14:00;VISA;Mashhad;-999999.0;51
success;6/9/2025 5:23;MastCard;Qom;-5000.0;56
FAIL;13/9/2025 6:30;Visa;Qom;1.0;73
fail;19/9/2025 16:16;Visa;Shiraz;333333.0;10
fail;22/9/2025 2:54;Vsa;Mashhad;452545.0;61
success;8/9/2025 2:30;Vsa;Tabriz;1883871.0;50
fail;27/9/2025 19:51;MastCard;THR;-5000.0;47
fail;27/9/2025 7:07;Discover;Shiraz;-5000.0;91
fail;2/9/2025 21:23;Amex;THR;-5000.0;1
fail;21/9/2025 11:11;Discover;Tabriz;0.0;95
fail;30/9/2025 21:23;MasterCard;Shiraz;1502601.0;57
Success;1/9/2025 8:59;Discover;Karaj;650000.0;38
fail;28/9/2025 19:51;nan;Isfahan;1578078.0;62
success;15/9/2025 21:21;Discover;karaj;914465.0;79
failed;1/9/2025 14:30;Amex;Tehran;443463.0;90
success;5/9/2025 17:17;Discover;Qom;123456.0;70
success;28/9/2025 21:23;Amex;Shiraz;1305967.0;82
success;29/9/2025 21:21;Amex;Mashhad;0.0;65
failed;16/9/2025 9:45;nan;Shiraz;120000.0;62
failed;19/9/2025 16:40;Visa;Tehran;200000.0;56
success;4/9/2025 2:20;Visa;Karaj;99999.0;67
failed;3/9/2025 4:15;MastCard;Isfahan;100000.0;17
success;17/9/2025 21:10;Discover;Mashhad;-5000.0;8
fail;17/9/2025 4:40;Visa;Tabriz;900000.0;60
failed;12/9/2025 9:45;MasterCard;Mashhad;177050.0;40
success;28/9/2025 12:12;Amex;Shiraz;-5000.0;81
failed;30/9/2025 5:56;Visa;karaj;976246.0;90
