status;status_new;date;time;card_type;city;amount
success;SUCCESS;27/9/2025;2:24:00 ðì;Master Card;Tehran;1578078.0
fail;FAIL;27/9/2025;11:11:00 ðì;Amex;Tehran;63489.0
fail;FAIL;10/9/2025;7:29:00 ìì;Master Card;Tabriz;450000.0
success;SUCCESS;28/9/2025;7:40:00 ìì;Discover;Tehran;177050.0
fail;FAIL;28/9/2025;12:12:00 ìì;Amex;Tehran;1050805.0
fail;FAIL;15/9/2025;11:11:00 ðì;Master Card;Isfahan;1578078.0
Success;SUCCESS;30/9/2025;9:23:00 ìì;Visa;Tehran;343679.0
success;SUCCESS;30/9/2025;9:09:00 ðì;Discover;Qom;555555.0
fail;FAIL;15/9/2025;5:23:00 ðì;Master Card;Shiraz;471227.0
success;SUCCESS;30/9/2025;1:01:00 ðì;Master Card;Isfahan;976246.0
success;SUCCESS;19/9/2025;2:00:00 ìì;Amex;Karaj;343679.0
fail;FAIL;12/9/2025;9:23:00 ìì;VISA;Karaj;1463119.0
fail;FAIL;23/9/2025;8:08:00 ðì;Visa;Ahvaz;200000.0
success;SUCCESS;20/9/2025;2:24:00 ðì;Master Card;Mashhad;976246.0
success;SUCCESS;3/9/2025;6:12:00 ìì;Amex;Tehran;774681.0
success;SUCCESS;5/9/2025;2:30:00 ðì;Visa;Karaj;1578078.0
fail;FAIL;19/9/2025;2:24:00 ðì;Visa;Tabriz;205000.0
FAIL;FAIL;7/9/2025;2:30:00 ðì;Master Card;Tabriz;1000.0
success;SUCCESS;9/9/2025;2:02:00 ìì;Master Card;Tehran;419089.0
fail;FAIL;14/9/2025;1:10:00 ìì;Discover;Qom;100.5
success;SUCCESS;18/9/2025;3:27:00 ðì;Visa;Isfahan;1578078.0
success;SUCCESS;26/9/2025;4:40:00 ìì;Amex;Shiraz;1427657.0
fail;FAIL;2/9/2025;6:30:00 ðì;Visa;Qom;1768588.0
success;SUCCESS;20/9/2025;11:11:00 ðì;Visa;Tabriz;555555.0
success;SUCCESS;15/9/2025;7:07:00 ðì;Discover;Shiraz;205000.0
fail;FAIL;28/9/2025;1:10:00 ìì;Master Card;Isfahan;419089.0
fail;FAIL;7/9/2025;6:06:00 ðì;Master Card;Tabriz;914465.0
success;SUCCESS;12/9/2025;11:59:00 ìì;Visa;Shiraz;545116.0
fail;FAIL;29/9/2025;9:23:00 ìì;Visa;Tehran;976246.0
success;SUCCESS;3/9/2025;5:23:00 ðì;Master Card;Qom;585954.0
fail;FAIL;14/9/2025;7:08:00 ðì;VISA;Mashhad;583952.0
fail;FAIL;17/9/2025;1:51:00 ðì;Visa;Tehran ;1883871.0
fail;FAIL;4/9/2025;5:23:00 ðì;Visa;Qom;100.5
fail;FAIL;8/9/2025;2:00:00 ìì;Master Card;Mashhad;583952.0
success;SUCCESS;2/9/2025;5:07:00 ìì;Master Card;Karaj;1578078.0
fail;FAIL;30/9/2025;4:04:00 ðì;Master Card;Tehran;99999.0
success;SUCCESS;22/9/2025;2:54:00 ðì;Master Card;Tehran;1000.0
success;SUCCESS;4/9/2025;3:27:00 ðì;Amex;Mashhad;1387769.0
fail;FAIL;29/9/2025;4:16:00 ìì;Visa;Tehran;1782689.0
fail;FAIL;26/9/2025;2:11:00 ìì;Visa;Ahvaz;1472823.0
success;SUCCESS;12/9/2025;9:45:00 ðì;Discover;Karaj;1578078.0
success;SUCCESS;2/9/2025;4:40:00 ìì;Master Card;karaj;100.5
success;SUCCESS;10/9/2025;2:20:00 ðì;Master Card;Tehran;585954.0
fail;FAIL;30/9/2025;9:09:00 ðì;Visa;Tabriz;177050.0
fail;FAIL;4/9/2025;2:00:00 ìì;Master Card;Tehran;1578078.0
success;SUCCESS;14/9/2025;11:59:00 ìì;Amex;Shiraz;1427657.0
fail;FAIL;8/9/2025;11:17:00 ìì;Discover;Tabriz;99999.0
success;SUCCESS;23/9/2025;7:29:00 ìì;Visa;Tehran;1427657.0
success;SUCCESS;28/9/2025;2:37:00 ðì;Discover;karaj;343679.0
fail;FAIL;25/9/2025;7:40:00 ìì;Master Card;Karaj;1782689.0
success;SUCCESS;30/9/2025;1:10:00 ìì;Visa;Isfahan;1782689.0
fail;FAIL;8/9/2025;11:11:00 ðì;Amex;Karaj;555555.0
fail;FAIL;21/9/2025;3:27:00 ðì;Visa;Ahvaz;12345.0
fail;FAIL;16/9/2025;7:08:00 ðì;Visa;Ahvaz;333333.0
success;SUCCESS;13/9/2025;10:48:00 ðì;Master Card;Karaj;200000.0
fail;FAIL;18/9/2025;2:24:00 ðì;Master Card;Tehran;914465.0
success;SUCCESS;15/9/2025;9:45:00 ðì;Visa;Shiraz;250000.0
success;SUCCESS;24/9/2025;3:45:00 ìì;Visa;Tehran ;1463119.0
success;SUCCESS;26/9/2025;7:07:00 ðì;Visa;Shiraz;1427657.0
success;SUCCESS;25/9/2025;9:23:00 ìì;Visa;Shiraz;100000.0
fail;FAIL;28/9/2025;11:59:00 ìì;Visa;Tehran;583952.0
success;SUCCESS;13/9/2025;12:00:00 ðì;Master Card;Shiraz;333333.0
fail;FAIL;15/9/2025;11:11:00 ðì;Discover;Tehran;555555.0
fail;FAIL;13/9/2025;6:06:00 ðì;Visa;Qom;452545.0
fail;FAIL;1/9/2025;4:40:00 ìì;Discover;Tehran;100.5
fail;FAIL;7/9/2025;6:12:00 ìì;Master Card;Tehran;205000.0
fail;FAIL;24/9/2025;8:08:00 ðì;Master Card;Tehran;343679.0
fail;FAIL;1/9/2025;9:09:00 ðì;Master Card;Tehran;177050.0
success;SUCCESS;8/9/2025;4:40:00 ìì;Master Card;Tehran;774681.0
Success;SUCCESS;24/9/2025;4:40:00 ìì;Visa;Tabriz;100.5
fail;FAIL;11/9/2025;11:17:00 ìì;Visa;Shiraz;1000.0
fail;FAIL;19/9/2025;2:37:00 ðì;Master Card;Isfahan;120000.0
fail;FAIL;17/9/2025;4:40:00 ìì;Visa;Mashhad;850000.0
fail;FAIL;8/9/2025;10:27:00 ìì;Visa;Tehran;412308.0
success;SUCCESS;3/9/2025;2:37:00 ðì;Master Card;Isfahan;5000.0
success;SUCCESS;3/9/2025;3:27:00 ðì;Discover;Isfahan;545116.0
fail;FAIL;1/9/2025;2:37:00 ðì;Master Card;karaj;419089.0
success;SUCCESS;5/9/2025;4:40:00 ìì;VISA;Tehran;100000.0
fail;FAIL;10/9/2025;2:20:00 ðì;Master Card;Tehran;1305967.0
fail;FAIL;9/9/2025;9:21:00 ìì;Amex;Tabriz;419089.0
fail;FAIL;28/9/2025;12:00:00 ðì;Master Card;Qom;976246.0
success;SUCCESS;9/9/2025;10:48:00 ðì;Master Card;Shiraz;1158713.0
FAIL;FAIL;12/9/2025;7:51:00 ìì;Discover;Tehran;914465.0
success;SUCCESS;2/9/2025;10:48:00 ðì;Master Card;karaj;1768588.0
success;SUCCESS;1/9/2025;4:15:00 ðì;Discover;Tabriz;452545.0
fail;FAIL;16/9/2025;12:34:00 ìì;Visa;Tehran;300000.0
success;SUCCESS;23/9/2025;10:27:00 ìì;Master Card;Ahvaz;1768588.0
success;SUCCESS;30/9/2025;6:00:00 ìì;Amex;Karaj;1427657.0
fail;FAIL;24/9/2025;12:00:00 ðì;Visa;Tehran;120000.0
fail;FAIL;5/9/2025;7:32:00 ðì;Visa;Mashhad;200000.0
fail;FAIL;12/9/2025;2:30:00 ðì;Amex;Tehran;914282.0
fail;FAIL;27/9/2025;7:32:00 ðì;Amex;Qom;471227.0
success;SUCCESS;3/9/2025;12:12:00 ìì;Discover;Tehran;177050.0
fail;FAIL;1/9/2025;9:09:00 ðì;Amex;Isfahan;850000.0
success;SUCCESS;3/9/2025;11:59:00 ìì;Master Card;Tehran;914465.0
success;SUCCESS;5/9/2025;2:37:00 ðì;Amex;Isfahan;250000.0
Success;SUCCESS;15/9/2025;11:59:00 ìì;Visa;Shiraz;250000.0
success;SUCCESS;14/9/2025;2:30:00 ðì;Visa;Isfahan;976246.0
success;SUCCESS;3/9/2025;9:10:00 ìì;Master Card;Isfahan;900000.0
fail;FAIL;5/9/2025;5:56:00 ðì;Amex;Karaj;250000.0
fail;FAIL;26/9/2025;7:19:00 ìì;Amex;Mashhad;12345.0
fail;FAIL;23/9/2025;9:21:00 ìì;visa;Qom;1883871.0
success;SUCCESS;14/9/2025;7:08:00 ðì;Visa;Shiraz;850000.0
success;SUCCESS;7/9/2025;2:37:00 ðì;Master Card;Tehran;250000.0
success;SUCCESS;27/9/2025;1:51:00 ðì;Amex;Tehran;300000.0
success;SUCCESS;9/9/2025;12:44:00 ìì;Visa;Shiraz;585954.0
fail;FAIL;15/9/2025;7:51:00 ìì;Discover;Isfahan;914282.0
fail;FAIL;15/9/2025;12:00:00 ðì;Master Card;Tehran;1502601.0
fail;FAIL;26/9/2025;2:37:00 ðì;Amex;Tabriz;1578078.0
success;SUCCESS;10/9/2025;10:27:00 ìì;Master Card;Tehran;1578078.0
fail;FAIL;28/9/2025;12:00:00 ðì;Visa;Tehran;200000.0
success;SUCCESS;19/9/2025;9:23:00 ìì;Discover;Tehran;914282.0
success;SUCCESS;7/9/2025;8:33:00 ìì;Visa;Shiraz;1000.0
fail;FAIL;17/9/2025;10:48:00 ðì;Amex;Mashhad;1782689.0
fail;FAIL;20/9/2025;8:33:00 ìì;Discover;Qom;419089.0
success;SUCCESS;4/9/2025;9:23:00 ìì;Discover;Mashhad;1158713.0
fail;FAIL;30/9/2025;10:48:00 ðì;Master Card;Ahvaz;443463.0
fail;FAIL;5/9/2025;10:05:00 ðì;Visa;Tabriz;120000.0
fail;FAIL;7/9/2025;12:34:00 ìì;Master Card;Tehran;1472823.0
success;SUCCESS;13/9/2025;11:17:00 ìì;Amex;Tehran;419089.0
success;SUCCESS;11/9/2025;9:00:00 ðì;Amex;Tehran;650000.0
fail;FAIL;13/9/2025;6:45:00 ìì;Master Card;Tehran;1578078.0
fail;FAIL;7/9/2025;11:11:00 ðì;Discover;Tehran;585954.0
fail;FAIL;27/9/2025;2:54:00 ðì;Visa;Isfahan;200000.0
success;SUCCESS;19/9/2025;12:44:00 ìì;Master Card;Tehran;583952.0
Success;SUCCESS;22/9/2025;11:11:00 ðì;Visa;Ahvaz;1463119.0
fail;FAIL;28/9/2025;7:32:00 ðì;Visa;Ahvaz;177050.0
fail;FAIL;21/9/2025;11:59:00 ìì;Visa;karaj;100.5
success;SUCCESS;6/9/2025;7:40:00 ìì;Discover;Tehran;1502601.0
success;SUCCESS;28/9/2025;2:11:00 ìì;VISA;Karaj;200000.0
fail;FAIL;12/9/2025;10:27:00 ìì;Discover;Karaj;419089.0
fail;FAIL;12/9/2025;12:00:00 ðì;Master Card;Tabriz;200000.0
success;SUCCESS;30/9/2025;2:30:00 ðì;Visa;Tehran;914465.0
Success;SUCCESS;30/9/2025;10:05:00 ðì;Master Card;Tehran;50200.0
fail;FAIL;11/9/2025;9:21:00 ìì;Visa;Tehran;976246.0
success;SUCCESS;26/9/2025;3:27:00 ðì;Discover;Qom;200000.0
fail;FAIL;23/9/2025;9:23:00 ìì;Master Card;Shiraz;177050.0
success;SUCCESS;7/9/2025;2:02:00 ìì;Visa;Tabriz;850000.0
Success;SUCCESS;30/9/2025;2:11:00 ìì;Visa;Tehran;443463.0
fail;FAIL;1/9/2025;2:30:00 ðì;Master Card;Tehran;99999.0
success;SUCCESS;27/9/2025;4:04:00 ðì;Master Card;Tehran;1463119.0
success;SUCCESS;30/9/2025;10:05:00 ðì;Visa;Mashhad;976246.0
success;SUCCESS;25/9/2025;2:30:00 ðì;Master Card;Tabriz;63489.0
Success;SUCCESS;20/9/2025;10:05:00 ðì;Visa;Tehran;177050.0
success;SUCCESS;13/9/2025;7:29:00 ìì;Visa;Ahvaz;650000.0
fail;FAIL;9/9/2025;11:11:00 ðì;Amex;Mashhad;120000.0
fail;FAIL;3/9/2025;2:11:00 ìì;Master Card;Tabriz;650000.0
success;SUCCESS;6/9/2025;5:23:00 ðì;Visa;Mashhad;471227.0
fail;FAIL;27/9/2025;10:48:00 ðì;Master Card;Tehran;412308.0
success;SUCCESS;9/9/2025;5:56:00 ðì;Discover;Tabriz;1305967.0
success;SUCCESS;30/9/2025;10:05:00 ðì;Visa;karaj;914282.0
fail;FAIL;5/9/2025;2:11:00 ìì;Visa;karaj;583952.0
success;SUCCESS;1/9/2025;12:00:00 ðì;Visa;Tehran;900000.0
success;SUCCESS;19/9/2025;3:00:00 ðì;Master Card;Mashhad;1768588.0
success;SUCCESS;10/9/2025;12:12:00 ìì;Discover;Tehran;419089.0
fail;FAIL;12/9/2025;7:19:00 ìì;Visa;Isfahan;1578078.0
fail;FAIL;24/9/2025;3:27:00 ðì;Visa;Karaj;177050.0
fail;FAIL;15/9/2025;2:30:00 ðì;Amex;Tabriz;343679.0
fail;FAIL;27/9/2025;5:23:00 ðì;Master Card;Tehran;443463.0
success;SUCCESS;22/9/2025;2:37:00 ðì;Visa;Mashhad;850000.0
success;SUCCESS;20/9/2025;12:12:00 ìì;Master Card;Ahvaz;1768588.0
fail;FAIL;17/9/2025;8:08:00 ðì;Visa;Karaj;443463.0
success;SUCCESS;30/9/2025;2:30:00 ìì;Master Card;karaj;200000.0
success;SUCCESS;26/9/2025;1:13:00 ìì;Visa;Qom;200000.0
fail;FAIL;20/9/2025;2:11:00 ìì;Amex;Isfahan;123456.0
fail;FAIL;12/9/2025;8:33:00 ìì;Amex;Tehran ;976246.0
success;SUCCESS;7/9/2025;2:00:00 ìì;Master Card;Tehran ;1502601.0
fail;FAIL;17/9/2025;5:56:00 ðì;Visa;Mashhad;343679.0
success;SUCCESS;5/9/2025;9:09:00 ðì;Visa;Isfahan;471227.0
success;SUCCESS;17/9/2025;12:12:00 ìì;Visa;Mashhad;50200.0
FAIL;FAIL;24/9/2025;8:20:00 ìì;Amex;Tabriz;1472823.0
fail;FAIL;17/9/2025;6:12:00 ìì;Master Card;Tehran;250000.0
Success;SUCCESS;27/9/2025;2:20:00 ðì;Visa;Ahvaz;914282.0
fail;FAIL;17/9/2025;9:21:00 ìì;Master Card;Ahvaz;333333.0
success;SUCCESS;2/9/2025;8:20:00 ìì;Visa;Isfahan;5000.0
fail;FAIL;2/9/2025;12:12:00 ìì;Master Card;Tehran;914465.0
success;SUCCESS;28/9/2025;11:11:00 ðì;Discover;Karaj;471227.0
success;SUCCESS;22/9/2025;7:08:00 ðì;Master Card;Isfahan;120000.0
success;SUCCESS;23/9/2025;11:59:00 ìì;VISA;Tehran;250000.0
FAIL;FAIL;5/9/2025;10:05:00 ðì;Visa;Ahvaz;850000.0
FAIL;FAIL;1/9/2025;10:48:00 ðì;Amex;Tehran;450000.0
fail;FAIL;1/9/2025;2:02:00 ìì;Visa;Qom;585954.0
fail;FAIL;2/9/2025;7:51:00 ìì;Discover;Mashhad;300000.0
fail;FAIL;21/9/2025;10:48:00 ðì;visa;Tabriz;123456.0
success;SUCCESS;12/9/2025;8:20:00 ìì;Master Card;Tabriz;774681.0
FAIL;FAIL;26/9/2025;9:21:00 ìì;Master Card;Ahvaz;1768588.0
Success;SUCCESS;6/9/2025;11:59:00 ìì;Visa;Tehran;471227.0
success;SUCCESS;23/9/2025;1:01:00 ðì;Master Card;Ahvaz;343679.0
fail;FAIL;23/9/2025;2:11:00 ìì;Master Card;Tehran;976246.0
success;SUCCESS;24/9/2025;7:32:00 ðì;Master Card;Shiraz;250000.0
fail;FAIL;27/9/2025;5:56:00 ðì;Amex;Isfahan;545116.0
fail;FAIL;17/9/2025;10:05:00 ðì;Amex;Mashhad;1463119.0
fail;FAIL;6/9/2025;7:40:00 ìì;Visa;Tabriz;250000.0
success;SUCCESS;24/9/2025;3:45:00 ìì;Master Card;Tehran;100000.0
fail;FAIL;5/9/2025;2:11:00 ìì;Visa;Qom;63489.0
success;SUCCESS;20/9/2025;12:34:00 ìì;Master Card;Ahvaz;1578078.0
fail;FAIL;2/9/2025;11:11:00 ðì;Visa;Tabriz;177050.0
success;SUCCESS;6/9/2025;6:30:00 ðì;Discover;Isfahan;976246.0
success;SUCCESS;11/9/2025;2:55:00 ìì;Visa;Tehran;1782689.0
success;SUCCESS;16/9/2025;9:21:00 ìì;Discover;Tehran;333333.0
fail;FAIL;1/9/2025;11:11:00 ðì;Visa;Tehran;1782689.0
fail;FAIL;9/9/2025;2:54:00 ðì;Amex;Tehran;650000.0
fail;FAIL;28/9/2025;9:00:00 ðì;visa;Shiraz;177050.0
fail;FAIL;27/9/2025;9:23:00 ìì;VISA;Shiraz;412308.0
success;SUCCESS;6/9/2025;6:06:00 ðì;Visa;Isfahan;452545.0
fail;FAIL;16/9/2025;12:00:00 ðì;Discover;Mashhad;1427657.0
fail;FAIL;29/9/2025;11:59:00 ìì;Visa;Tehran;100000.0
success;SUCCESS;20/9/2025;12:44:00 ìì;Visa;Tabriz;914282.0
fail;FAIL;28/9/2025;7:29:00 ìì;Visa;Mashhad;914465.0
fail;FAIL;4/9/2025;2:11:00 ìì;Visa;Qom;1472823.0
success;SUCCESS;3/9/2025;3:27:00 ðì;Master Card;Tabriz;419089.0
fail;FAIL;19/9/2025;2:55:00 ìì;Visa;Tabriz;12345.0
success;SUCCESS;20/9/2025;7:51:00 ìì;Visa;Tehran;555555.0
FAIL;FAIL;7/9/2025;7:08:00 ðì;Master Card;Tehran;471227.0
fail;FAIL;9/9/2025;3:00:00 ðì;Master Card;Mashhad;200000.0
success;SUCCESS;8/9/2025;7:51:00 ìì;Master Card;Mashhad;100.5
fail;FAIL;7/9/2025;5:17:00 ìì;VISA;Tehran;63489.0
fail;FAIL;18/9/2025;10:48:00 ðì;Visa;Isfahan;914282.0
Success;SUCCESS;8/9/2025;11:11:00 ðì;Visa;Shiraz;443463.0
Success;SUCCESS;1/9/2025;2:37:00 ðì;Visa;Karaj;850000.0
fail;FAIL;11/9/2025;1:10:00 ìì;Master Card;Shiraz;123456.0
success;SUCCESS;28/9/2025;2:30:00 ðì;Discover;Tehran;100.5
fail;FAIL;25/9/2025;11:11:00 ðì;Visa;Tabriz;1578078.0
fail;FAIL;23/9/2025;11:11:00 ðì;Master Card;Tehran;976246.0
success;SUCCESS;3/9/2025;6:12:00 ìì;Master Card;Qom;1768588.0
fail;FAIL;7/9/2025;1:01:00 ðì;Visa;Tehran;1463119.0
fail;FAIL;28/9/2025;9:10:00 ìì;Visa;Qom;914282.0
success;SUCCESS;16/9/2025;1:13:00 ìì;Visa;Tehran ;900000.0
Success;SUCCESS;26/9/2025;10:48:00 ðì;Visa;Shiraz;99999.0
success;SUCCESS;16/9/2025;12:44:00 ìì;Discover;Mashhad;1.0
fail;FAIL;25/9/2025;4:40:00 ðì;Discover;karaj;1158713.0
fail;FAIL;28/9/2025;8:33:00 ìì;Visa;Isfahan;1578078.0
fail;FAIL;2/9/2025;7:08:00 ðì;Amex;Mashhad;100.5
success;SUCCESS;1/9/2025;8:33:00 ìì;Discover;Tehran;100000.0
fail;FAIL;16/9/2025;7:51:00 ìì;Master Card;Tabriz;1578078.0
success;SUCCESS;30/9/2025;9:10:00 ìì;Amex;Tehran;471227.0
fail;FAIL;5/9/2025;7:40:00 ìì;Visa;Isfahan;1883871.0
fail;FAIL;27/9/2025;4:15:00 ðì;Amex;Mashhad;585954.0
fail;FAIL;23/9/2025;11:17:00 ìì;Master Card;Tehran ;1.0
fail;FAIL;9/9/2025;7:51:00 ìì;Visa;Mashhad;419089.0
success;SUCCESS;9/9/2025;11:17:00 ìì;Visa;Mashhad;914465.0
fail;FAIL;3/9/2025;4:16:00 ìì;Amex;Qom;1050805.0
success;SUCCESS;19/9/2025;2:11:00 ìì;Discover;Tehran ;583952.0
fail;FAIL;16/9/2025;12:44:00 ìì;Master Card;Tehran;1782689.0
success;SUCCESS;3/9/2025;1:13:00 ìì;Visa;Ahvaz;200000.0
fail;FAIL;24/9/2025;7:08:00 ðì;Discover;Karaj;343679.0
success;SUCCESS;24/9/2025;3:00:00 ðì;Master Card;Isfahan;1502601.0
fail;FAIL;20/9/2025;12:44:00 ìì;Visa;Tehran;343679.0
success;SUCCESS;11/9/2025;3:27:00 ðì;Master Card;Tabriz;900000.0
fail;FAIL;17/9/2025;9:00:00 ðì;Visa;Tehran;914465.0
fail;FAIL;8/9/2025;7:07:00 ðì;Discover;karaj;99999.0
success;SUCCESS;6/9/2025;1:01:00 ðì;Discover;Mashhad;343679.0
fail;FAIL;8/9/2025;4:40:00 ìì;Discover;karaj;914465.0
fail;FAIL;30/9/2025;12:44:00 ìì;Visa;Tehran;120000.0
success;SUCCESS;16/9/2025;12:34:00 ìì;Visa;Mashhad;1463119.0
success;SUCCESS;30/9/2025;10:05:00 ðì;Discover;Karaj;914465.0
success;SUCCESS;25/9/2025;9:45:00 ðì;Visa;Tabriz;555555.0
fail;FAIL;3/9/2025;8:59:00 ðì;Discover;Tabriz;1387769.0
success;SUCCESS;25/9/2025;7:08:00 ðì;Visa;Isfahan;450000.0
success;SUCCESS;18/9/2025;10:48:00 ðì;Visa;Mashhad;5000.0
fail;FAIL;14/9/2025;8:59:00 ðì;Master Card;Mashhad;100.5
success;SUCCESS;2/9/2025;7:51:00 ìì;Master Card;Tabriz;774681.0
fail;FAIL;22/9/2025;11:17:00 ìì;Visa;Tehran;471227.0
fail;FAIL;3/9/2025;7:08:00 ðì;Amex;Tabriz;177050.0
success;SUCCESS;16/9/2025;2:24:00 ðì;Master Card;Qom;914282.0
fail;FAIL;29/9/2025;12:44:00 ìì;Discover;Tehran;450000.0
fail;FAIL;4/9/2025;7:32:00 ðì;Amex;Tehran;63489.0
success;SUCCESS;14/9/2025;8:08:00 ðì;Discover;Tabriz;1578078.0
success;SUCCESS;21/9/2025;2:00:00 ìì;Master Card;Tabriz;583952.0
success;SUCCESS;16/9/2025;10:05:00 ðì;Amex;Shiraz;63489.0
FAIL;FAIL;20/9/2025;10:05:00 ðì;Master Card;Mashhad;250000.0
fail;FAIL;24/9/2025;1:13:00 ìì;Amex;Ahvaz;583952.0
success;SUCCESS;8/9/2025;3:27:00 ðì;Visa;Karaj;1768588.0
success;SUCCESS;7/9/2025;3:45:00 ìì;Visa;Tabriz;5000.0
fail;FAIL;3/9/2025;4:15:00 ðì;VISA;Ahvaz;1472823.0
fail;FAIL;17/9/2025;10:48:00 ðì;Visa;karaj;1000.0
FAIL;FAIL;1/9/2025;11:59:00 ìì;Master Card;Qom;1463119.0
fail;FAIL;12/9/2025;1:13:00 ìì;Discover;Ahvaz;1782689.0
success;SUCCESS;27/9/2025;3:45:00 ìì;Visa;Qom;250000.0
success;SUCCESS;19/9/2025;9:09:00 ðì;Master Card;Tehran;1782689.0
fail;FAIL;22/9/2025;7:07:00 ðì;Master Card;Qom;1502601.0
fail;FAIL;23/9/2025;4:40:00 ðì;Master Card;Mashhad;200000.0
success;SUCCESS;22/9/2025;4:15:00 ðì;Amex;Isfahan;452545.0
fail;FAIL;30/9/2025;7:32:00 ðì;visa;Tehran;1768588.0
FAIL;FAIL;13/9/2025;6:30:00 ðì;Visa;Qom;1.0
fail;FAIL;19/9/2025;4:16:00 ìì;Visa;Shiraz;333333.0
fail;FAIL;22/9/2025;2:54:00 ðì;Visa;Mashhad;452545.0
success;SUCCESS;8/9/2025;2:30:00 ðì;Visa;Tabriz;1883871.0
fail;FAIL;30/9/2025;9:23:00 ìì;Master Card;Shiraz;1502601.0
Success;SUCCESS;1/9/2025;8:59:00 ðì;Discover;Karaj;650000.0
success;SUCCESS;15/9/2025;9:21:00 ìì;Discover;karaj;914465.0
fail;FAIL;1/9/2025;2:30:00 ìì;Amex;Tehran;443463.0
success;SUCCESS;5/9/2025;5:17:00 ìì;Discover;Qom;123456.0
success;SUCCESS;28/9/2025;9:23:00 ìì;Amex;Shiraz;1305967.0
fail;FAIL;19/9/2025;4:40:00 ìì;Visa;Tehran;200000.0
success;SUCCESS;4/9/2025;2:20:00 ðì;Visa;Karaj;99999.0
fail;FAIL;3/9/2025;4:15:00 ðì;Master Card;Isfahan;100000.0
fail;FAIL;17/9/2025;4:40:00 ðì;Visa;Tabriz;900000.0
fail;FAIL;12/9/2025;9:45:00 ðì;Master Card;Mashhad;177050.0
fail;FAIL;30/9/2025;5:56:00 ðì;Visa;karaj;976246.0
fail;FAIL;29/9/2025;4:40:00 ìì;Discover;Mashhad;343679.0
fail;FAIL;14/9/2025;4:40:00 ðì;Visa;Tabriz;333333.0
Success;SUCCESS;21/9/2025;12:00:00 ðì;Master Card;Mashhad;1387769.0
fail;FAIL;6/9/2025;8:33:00 ìì;Visa;Karaj;471227.0
fail;FAIL;9/9/2025;1:13:00 ìì;Visa;Qom;333333.0
success;SUCCESS;5/9/2025;8:33:00 ìì;Visa;Tabriz;450000.0
success;SUCCESS;14/9/2025;10:48:00 ðì;Discover;Tehran;1387769.0
success;SUCCESS;21/9/2025;12:44:00 ìì;Discover;Qom;900000.0
FAIL;FAIL;28/9/2025;4:15:00 ðì;Amex;Isfahan;5000.0
fail;FAIL;1/9/2025;2:55:00 ìì;Discover;Tabriz;1782689.0
fail;FAIL;20/9/2025;10:48:00 ðì;Discover;Shiraz;583952.0
success;SUCCESS;29/9/2025;12:12:00 ìì;Master Card;Tehran;1883871.0
fail;FAIL;21/9/2025;9:45:00 ðì;Discover;Shiraz;914282.0
success;SUCCESS;23/9/2025;12:44:00 ìì;Master Card;Qom;1.0
fail;FAIL;1/9/2025;9:00:00 ðì;Amex;Shiraz;1472823.0
fail;FAIL;18/9/2025;12:12:00 ìì;Master Card;Tehran;123456.0
success;SUCCESS;25/9/2025;11:11:00 ðì;Discover;Tehran;1463119.0
fail;FAIL;10/9/2025;7:51:00 ìì;Discover;Tehran;177050.0
